Country Name,Country Code,2019,,,
Aruba,ABW,,,,
Africa Eastern and Southern,AFE,3693.060392,,,
Afghanistan,AFG,2152.366489,,,
Africa Western and Central,AFW,4317.580152,,,
Angola,AGO,6952.419362,,,
Albania,ALB,14230.98951,,,
Andorra,AND,,,,
Arab World,ARB,15236.06166,,,
United Arab Emirates,ARE,69957.61808,,,
Argentina,ARG,22996.98552,,,
Armenia,ARM,14231.18019,,,
American Samoa,ASM,,,,
Antigua and Barbuda,ATG,22460.01925,,,
Australia,AUS,52203.13229,,,
Austria,AUT,58649.66831,,,
Azerbaijan,AZE,15049.93856,,,
Burundi,BDI,783.4519832,,,
Belgium,BEL,54709.4669,,,
Benin,BEN,3426.329654,,,
Burkina Faso,BFA,2270.444019,,,
Bangladesh,BGD,4954.7614,,,
Bulgaria,BGR,24579.21655,,,
Bahrain,BHR,46966.02627,,,
"Bahamas, The",BHS,38669.33501,,,
Bosnia and Herzegovina,BIH,15847.13404,,,
Belarus,BLR,20098.59898,,,
Belize,BLZ,7558.604656,,,
Bermuda,BMU,85263.763,,,
Bolivia,BOL,9093.43166,,,
Brazil,BRA,15388.23492,,,
Barbados,BRB,16300.42221,,,
Brunei Darussalam,BRN,64724.13239,,,
Bhutan,BTN,12332.53949,,,
Botswana,BWA,18528.58844,,,
Central African Republic,CAF,985.1120414,,,
Canada,CAN,50660.57779,,,
Central Europe and the Baltics,CEB,34103.29427,,,
Switzerland,CHE,73114.46836,,,
Channel Islands,CHI,,,,
Chile,CHL,25974.73164,,,
China,CHN,16772.84317,,,
Cote d'Ivoire,CIV,5432.992608,,,
Cameroon,CMR,3796.307911,,,
"Congo, Dem. Rep.",COD,1144.381029,,,
"Congo, Rep.",COG,4005.310581,,,
Colombia,COL,15621.08737,,,
Comoros,COM,3188.877441,,,
Cabo Verde,CPV,7475.12252,,,
Costa Rica,CRI,21792.47588,,,
Caribbean small states,CSS,16670.65674,,,
Cuba,CUB,,,,
Curacao,CUW,25530.20685,,,
Cayman Islands,CYM,76747.66631,,,
Cyprus,CYP,41514.51051,,,
Czech Republic,CZE,43005.55334,,,
Germany,DEU,55891.20361,,,
Djibouti,DJI,5768.83109,,,
Dominica,DMA,12409.36904,,,
Denmark,DNK,60334.80863,,,
Dominican Republic,DOM,19191.58039,,,
Algeria,DZA,11997.33783,,,
East Asia & Pacific (excluding high income),EAP,15025.14922,,,
Early-demographic dividend,EAR,9692.545808,,,
East Asia & Pacific,EAS,18371.5056,,,
Europe & Central Asia (excluding high income),ECA,22961.11,,,
Europe & Central Asia,ECS,36813.32564,,,
Ecuador,ECU,11851.46541,,,
"Egypt, Arab Rep.",EGY,12260.72054,,,
Euro area,EMU,49283.57136,,,
Eritrea,ERI,,,,
Spain,ESP,42185.58612,,,
Estonia,EST,38819.33903,,,
Ethiopia,ETH,2315.34773,,,
European Union,EUU,46496.77453,,,
Fragile and conflict affected situations,FCS,4817.034902,,,
Finland,FIN,51556.52684,,,
Fiji,FJI,14263.07159,,,
France,FRA,49377.12658,,,
Faroe Islands,FRO,,,,
"Micronesia, Fed. Sts.",FSM,3613.007696,,,
Gabon,GAB,15582.31491,,,
United Kingdom,GBR,48513.4975,,,
Georgia,GEO,15623.15296,,,
Ghana,GHA,5625.09922,,,
Gibraltar,GIB,,,,
Guinea,GIN,2675.593695,,,
"Gambia, The",GMB,2316.88503,,,
Guinea-Bissau,GNB,2021.301943,,,
Equatorial Guinea,GNQ,19285.03625,,,
Greece,GRC,30869.15098,,,
Grenada,GRD,17771.34888,,,
Greenland,GRL,,,,
Guatemala,GTM,9019.256062,,,
Guam,GUM,,,,
Guyana,GUY,13635.44816,,,
High income,HIC,52367.90629,,,
"Hong Kong SAR, China",HKG,62106.10088,,,
Honduras,HND,5978.764399,,,
Heavily indebted poor countries (HIPC),HPC,2688.793901,,,
Croatia,HRV,30245.97622,,,
Haiti,HTI,3028.309382,,,
Hungary,HUN,33956.82192,,,
IBRD only,IBD,13956.6158,,,
IDA & IBRD total,IBT,11381.69768,,,
IDA total,IDA,4016.520228,,,
IDA blend,IDB,5078.361505,,,
Indonesia,IDN,12311.50327,,,
IDA only,IDX,3496.02928,,,
Isle of Man,IMN,,,,
India,IND,6997.863988,,,
Not classified,INX,,,,
Ireland,IRL,89431.3951,,,
"Iran, Islamic Rep.",IRN,12913.16284,,,
Iraq,IRQ,11012.05109,,,
Iceland,ISL,60081.84927,,,
Israel,ISR,41947.58994,,,
Italy,ITA,44850.92647,,,
Jamaica,JAM,10190.47465,,,
Jordan,JOR,10497.29792,,,
Japan,JPN,42197.25481,,,
Kazakhstan,KAZ,27466.22062,,,
Kenya,KEN,4512.981897,,,
Kyrgyz Republic,KGZ,5480.742698,,,
Cambodia,KHM,4574.403027,,,
Kiribati,KIR,2366.11136,,,
